idVotacao,dataHoraVoto,voto,deputado_id,deputado_nome,deputado_siglaPartido,deputado_siglaUf,tema
2226362-7,2019-10-30 20:56:07,Sim,204356,Amaro Neto,REPUBLICANOS,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:08,Sim,204397,Boca Aberta,PROS,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:10,Sim,177282,Subtenente Gonzaga,PDT,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:12,Sim,211866,Fabiano Tolentino,CIDADANIA,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:12,Sim,204385,Valdevan Noventa,PSC,SE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:13,Sim,160600,Arthur Oliveira Maia,DEM,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:14,Sim,160508,Afonso Florence,PT,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:14,Sim,68720,Fábio Henrique,PDT,SE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:15,Sim,204360,Silvia Cristina,PDT,RO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:15,Sim,204433,Marcelo Calero,CIDADANIA,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:16,Sim,194260,Nivaldo Albuquerque,PTB,AL,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:16,Sim,178861,Ronaldo Carletto,PP,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:18,Sim,74160,Patrus Ananias,PT,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:18,Sim,204446,Professor Joziel,PSL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:19,Sim,204537,Enrico Misasi,PV,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:19,Sim,204394,Gervásio Maia,PSB,PB,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:19,Sim,166402,Magda Mofatto,PL,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:20,Sim,204362,Ricardo Guidi,PSD,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:20,Sim,178889,Zé Carlos,PT,MA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:20,Sim,204391,José Nelto,PODE,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:22,Sim,204544,Alexandre Frota,PSDB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:23,Sim,204525,Rosana Valle,PSB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:24,Sim,204542,Denis Bezerra,PSB,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:25,Sim,178922,Tadeu Alencar,PSB,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:25,Sim,204421,Edna Henrique,PSDB,PB,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:25,Sim,204431,Marcos Aurélio Sampaio,MDB,PI,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:26,Obstrução,204486,Mauro Benevides Filho,PDT,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:26,Sim,204514,Coronel Tadeu,PSL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:27,Sim,204395,Pedro Lupion,DEM,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:28,Sim,204369,Caroline de Toni,PSL,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:28,Sim,178876,Célio Silveira,PSDB,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:32,Sim,204498,Olival Marques,DEM,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:32,Sim,178996,Giovani Feltes,MDB,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:32,Sim,74273,Jefferson Campos,PSB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:33,Sim,160575,Erika Kokay,PT,DF,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:33,Sim,204352,Camilo Capiberibe,PSB,AP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:34,Sim,204439,Dr. Leonardo,SOLIDARIEDADE,MT,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:35,Sim,178836,Alan Rick,DEM,AC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:35,Sim,204398,Felipe Francischini,PSL,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:36,Sim,204492,Paulo Guedes,PT,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:36,Sim,204531,Guilherme Derrite,PP,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:36,Sim,160592,Zeca Dirceu,PT,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:37,Sim,204406,Pedro Westphalen,PP,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:38,Sim,204462,Chris Tonietto,PSL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:39,Sim,204499,Cássio Andrade,PSB,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:40,Sim,204483,Vilson da Fetaemg,PSB,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:42,Sim,178972,Alex Manente,CIDADANIA,SP,Finanças Públicas e Orçamento
