uriProposicao,siglaTipo,numero,ano,codTema,tema,relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/299476,REP,42,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303307,REP,43,2005.0,53,Processo Legislativo e Atuação Parlamentar,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303309,REP,44,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303309,REP,44,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274868,MSC,44,2005.0,55,Relações Internacionais e Comércio Exterior,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303310,REP,45,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303310,REP,45,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303311,REP,46,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303311,REP,46,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282440,RIC,46,2005.0,57,Defesa e Segurança,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274871,MSC,46,2005.0,55,Relações Internacionais e Comércio Exterior,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303312,REP,47,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303312,REP,47,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303313,REP,48,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303313,REP,48,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303314,REP,49,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303314,REP,49,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303315,REP,50,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303315,REP,50,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303316,REP,51,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303316,REP,51,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303317,REP,52,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303317,REP,52,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303318,REP,53,2005.0,53,Processo Legislativo e Atuação Parlamentar,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275531,PFC,54,2005.0,48,Meio Ambiente e Desenvolvimento Sustentável,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275531,PFC,54,2005.0,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/277094,RCP,54,2005.0,48,Meio Ambiente e Desenvolvimento Sustentável,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303319,REP,54,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303319,REP,54,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275672,PFC,55,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/278672,RCP,55,2005.0,74,"Política, Partidos e Eleições",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/278672,RCP,55,2005.0,53,Processo Legislativo e Atuação Parlamentar,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303320,REP,55,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303320,REP,55,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/277518,PFC,56,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279280,RCP,56,2005.0,57,Defesa e Segurança,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274900,MSC,56,2005.0,46,Educação,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274900,MSC,56,2005.0,55,Relações Internacionais e Comércio Exterior,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/278400,PFC,57,2005.0,66,"Indústria, Comércio e Serviços",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303828,REP,57,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306602,REP,58,2005.0,53,Processo Legislativo e Atuação Parlamentar,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/278658,PFC,59,2005.0,56,Saúde,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/283173,RCP,59,2005.0,44,Direitos Humanos e Minorias,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/283173,RCP,59,2005.0,58,Trabalho e Emprego,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/278732,PFC,60,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/285265,RCP,60,2005.0,61,"Viação, Transporte e Mobilidade",5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274903,MSC,60,2005.0,55,Relações Internacionais e Comércio Exterior,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279076,PFC,61,2005.0,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288751,RCP,61,2005.0,41,Cidades e Desenvolvimento Urbano,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279077,PFC,62,2005.0,40,Economia,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/301855,RCP,62,2005.0,39,Esporte e Lazer,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279271,PFC,63,2005.0,56,Saúde,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/280117,PFC,64,2005.0,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/280883,PFC,65,2005.0,56,Saúde,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/280993,PFC,66,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282029,PFC,67,2005.0,70,Finanças Públicas e Orçamento,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282032,PFC,68,2005.0,70,Finanças Públicas e Orçamento,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282034,PFC,69,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279593,RIC,69,2005.0,44,Direitos Humanos e Minorias,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279593,RIC,69,2005.0,52,Previdência e Assistência Social,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282035,PFC,70,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282037,PFC,71,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282435,PFC,72,2005.0,70,Finanças Públicas e Orçamento,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/284085,PFC,74,2005.0,40,Economia,0
